Rob Gronkowski		NE/11		2.1	-0.07142857143	3	8/10/13		6.0	1.1	0.5	81%
Travis Kelce		KC/12		3.01	-0.1428571429	5	8/11/15		4.8	0.8	-0.2	66%
Zach Ertz		PHI/9		3.11	-0.1428571429	6	9/11/13		4.3	0.8	1.1	53%
Greg Olsen		CAR/4		5.08	0.1428571429	11	1/1/6		2.8	0.7	0.0	44%
Evan Engram		NYG/9		5.14	-0.07142857143	12	7/8/14		2.6	0.5	-0.8	36%
Jimmy Graham		GB/7		6.03	-0.5	11	5/10/15		2.5	0.8	-0.2	28%
Delanie Walker		TEN/8		6.05	0.1428571429	12	5/9/15		2.5	0.6	-0.8	20%
Kyle Rudolph		MIN/10		6.08	-0.07142857143	13	2/7/14		1.8	0.6	0.2	15%
Jordan Reed		WAS/4		8.02	-1	15	1/2/5		1.4	0.9	-0.3	10%
Jack Doyle		IND/9		9.01	0	16	4/6/14		1.0	0.9	0.6	7%
Trey Burton		CHI/5		8.02	0.2142857143	16	1/4/10		1.0	0.7	-0.3	4%
George Kittle		SF/11		9.05	0.7142857143	17	1/2/13		0.4	0.6	-0.6	3%
David Njoku		CLE/11		9.10	0	18	2/4/15		0.4	0.5	0.0	1%
Jared Cook		OAK/7		11.10	2.357142857	20	4/6/15		0.2	0.4	-0.8	1%
Charles Clay		BUF/11		11.07	2.571428571	20	3/5/11		0.1	0.4	-0.7	0%
OJ Howard		TB/5		10.11	1.214285714	20	4/4/12		0.1	0.7	-0.6	0%
Eric Ebron		IND/9		11.07	2.857142857	21	4/5/15		0.0	0.6	0.2	0%
Cameron Brate		TB/5		11.09	1.928571429	21	4/7/15		-0.1	0.8	0.4	0%
Tyler Eifert		CIN/9		11.01	0.3571428571	20	0/0/2		-0.1	1.1	0.1	0%
Austin Hooper		ATL/8		13.11	1.428571429	23	3/4/15		-0.3	0.6	0.5	0%
Ben Watson		NO/6		#N/A	#N/A	#N/A	0/0/0		-0.4	0.7	1.5	0%
Austin Seferian-Jenkins		JAX/9		12.11	-0.4285714286	21	2/4/13		-0.4	0.7	0.2	0%
Vance McDonald		PIT/7		13.14	0.07142857143	23	0/1/7		-0.5	0.8	0.0	0%
Ricky Seals-Jones		ARI/9		13.07	2.571428571	23	2/2/6		-0.6	0.7	0.7	0%
Hayden Hurst		BAL/10		14.12	-3.214285714	#N/A	0/0/0		-1.2	0.8	0.1	0%
