Antonio Brown	PIT/7	1.04	0	1	9/9/13	8.9	1.1	0.4	94%
DeAndre Hopkins	HOU/10	1.08	0.1428571429	1	11/14/15	7.6	0.8	0.2	89%
Odell Beckham	NYG/9	1.09	0.1428571429	2	2/3/4	7.2	0.6	0.3	85%
Julio Jones	ATL/8	1.11	0.2142857143	2	4/8/14	7.0	0.7	0.1	80%
Michael Thomas	NO/6	1.13	0.2857142857	2	6/11/15	6.3	0.6	0.1	76%
Keenan Allen	LAC/8	2.01	0.1428571429	2	5/7/15	6.1	0.8	-1.0	73%
AJ Green	CIN/9	2.02	0.2142857143	3	5/8/14	5.7	0.6	0.0	69%
Davante Adams	GB/7	2.03	0	3	6/8/14	5.7	0.7	0.0	65%
Mike Evans	TB/5	2.09	0.1428571429	4	5/9/14	4.9	0.7	0.2	62%
TY Hilton	IND/9	2.13	0.2857142857	4	3/5/15	4.7	0.6	0.0	59%
Adam Thielen	MIN/10	2.14	0.2857142857	4	5/8/15	4.6	0.7	-0.7	56%
Larry Fitzgerald	ARI/9	3.03	0.2857142857	5	6/8/15	4.3	0.8	0.8	53%
Doug Baldwin	SEA/7	3.01	0.2857142857	4	4/8/15	4.2	0.8	0.6	51%
Tyreek Hill	KC/12	3.06	-0.07142857143	6	6/8/15	4.2	0.7	0.1	48%
Stefon Diggs	MIN/10	3.02	0.1428571429	5	4/6/13	4.1	0.7	0.2	45%
Amari Cooper	OAK/7	3.09	0.1428571429	6	2/4/12	4.1	0.6	0.6	43%
Demaryius Thomas	DEN/10	3.09	0.3571428571	6	4/7/15	3.7	0.5	-0.1	40%
JuJu Smith-Schuster	PIT/7	4.06	0	7	4/6/12	3.6	0.5	0.7	38%
Allen Robinson	CHI/5	3.14	0.2142857143	6	0/0/0	3.4	0.9	0.3	36%
Golden Tate	DET/6	3.12	0.6428571429	6	6/8/15	3.4	0.6	0.4	34%
Marvin Jones	DET/6	4.09	0.7142857143	7	5/7/15	3.4	0.5	0.2	32%
Jarvis Landry	CLE/11	4.04	-0.2142857143	9	5/10/15	3.0	1.0	-0.3	30%
Alshon Jeffery	PHI/9	4.09	0.3571428571	6	3/8/15	3.0	1.1	-0.6	28%
Brandin Cooks	LAR/12	4.09	-0.2142857143	8	4/9/15	2.9	1.0	0.4	26%
Josh Gordon	CLE/11	4.12	-0.07142857143	8	1/2/4	2.5	0.8	0.4	24%
Chris Hogan	NE/11	6.01	0	8	4/4/9	2.4	0.9	0.5	23%
Michael Crabtree	BAL/10	5.07	0.7857142857	9	3/6/12	2.4	0.7	0.6	21%
Corey Davis	TEN/8	5.08	0.1428571429	9	0/1/10	2.2	0.6	-0.1	20%
Sammy Watkins	KC/12	5.11	0.4285714286	11	2/6/15	2.2	0.7	-1.1	19%
Emmanuel Sanders	DEN/10	6.02	0.9285714286	9	2/5/12	2.1	0.5	1.1	17%
Robby Anderson	NYJ/11	6.12	1.142857143	12	5/7/15	2.0	0.6	0.0	16%
